user_id,credibility
1,60402
2,168291
3,39517
4,127490
6,22466
7,60854
8,35269
9,1136
10,1065
11,52443
12,14559
13,240
14,8517
15,5571
16,19601
17,10869
18,68188
21,63
22,416
24,10833
25,6540
26,7423
27,17825
29,16562
30,134669
31,23440
32,5988
33,131215
34,22535
38,7714
39,5433
41,9499
42,4903
43,33614
44,1839
45,17926
46,1203
47,4847
49,1357
50,1212
51,68690
52,102384
53,6236
55,612
56,11891
59,50847
61,17875
62,353879
63,65584
64,12934
65,318
66,474606
67,3141
68,55236
70,121024
71,276
72,30516
73,28672
74,10380
76,212042
79,15767
83,85562
86,33977
89,705
90,64838
93,488
94,17756
96,13731
97,46642
98,42847
99,12285
100,20765
105,1045
107,280
108,105279
112,14494
113,670
116,25
118,2558
119,7481
120,2510
122,26546
126,1344
127,617
134,876
135,191946
137,825
150,31776
151,37914
153,2448
157,12297
164,3386
165,7539
166,17592
169,935
170,28802
176,88235
179,2340
181,973
182,18464
183,265
185,1815
188,167806
190,3440
191,311
195,588
196,144
198,54328
206,62534
215,12632
216,2927
220,386
222,17745
226,50591
236,2595
244,577
250,211
256,9911
264,1043
269,2872
295,9416
300,275696
307,431
325,14033
328,2951
353,2076
369,2782
372,138737
380,1462
424,599
438,5002
445,56564
463,18957
465,50
472,1471
479,4237
482,9486
488,37069
493,3755
498,22
505,3825
507,42
513,3016
517,31210
519,20654
540,51774
544,733
584,277767
598,393
610,14634
619,186
637,82698
643,5766
646,16573
672,91814
695,24303
697,9699
702,3937
712,1359
730,7369
733,28278
744,9837
756,174
765,11902
789,13768
796,5997
819,175
823,37563
835,162225
856,5351
873,984
899,101253
901,18426
918,19038
946,10035
952,20181
992,2103
1007,840
1018,1639
1052,2747
1057,4004
1077,564
1078,37811
1104,70702
1118,361
1123,46219
1125,23
1167,3196
1176,19218
1197,15581
1200,89389
1219,134810
1228,6784
1265,115
1266,6160
1273,8642
1300,9605
1323,10945
1325,50155
1329,10247
1406,270
1411,77088
1465,659
1473,178
1522,21413
1535,634
1578,16895
1591,412304
1631,24180
1671,82650
1689,55056
1743,71787
1752,27672
1842,3173
1849,279
1926,3532
1954,4894
2009,9207
2021,10318
2028,13150
2037,2274
2116,161
2138,2299
2175,64132
2178,10404
2213,1571
2214,42366
2235,4643
2240,47507
2251,43777
2269,12477
2376,272353
2392,7024
2400,75145
2424,11253
2496,12961
2597,19820
2599,9768
2606,1953
2616,1703
2630,18952
2651,24583
2676,7254
2689,29685
2712,23912
2747,22022
2760,261
2764,164
2843,61370
2851,4630
2886,23614
2954,190415
2957,30247
2997,6206
3044,39495
3047,6198
3065,290
3068,6845
3071,22658
3098,349
3109,6947
3113,62589
3114,43936
3118,66922
3168,1177
3174,11979
3193,11310
3205,7677
3212,13822
3222,9552
3241,36792
3278,24726
3287,452
3295,54552
3297,27466
3298,3345
3304,690
3315,24902
3337,3125
3338,32
3362,29506
3371,15710
3376,10718
3378,110454
3380,18756
3397,22186
3399,24683
3436,5691
3445,2704
3464,43062
3499,3347
3509,1833
3547,362
3552,28109
3559,15022
3569,2332
3573,2160
3577,2851
3602,37913
3624,16347
3628,142147
3635,5295
3646,3916
3666,4026
3669,195
3671,21728
3677,7817
3684,17243
3691,10517
3700,17252
3730,1103
3735,1972
3741,16865
3742,2666
3746,378
3749,36881
3759,6593
3795,79
3808,229214
3814,49546
3847,12957
3848,4740
3853,7625
3857,14588
3861,52381
3870,14670
3884,1688
3903,42329
3908,1786
3915,171411
3937,8928
3944,3318
3955,2198
3988,25688
4042,21716
4067,2937
4099,260939
4127,10810
4135,20602
4145,28070
4164,4230
4191,16884
4194,1617
4218,6605
4220,36043
4259,101323
4261,429485
4265,1051
4295,17130
4308,5627
4316,7422
4319,23665
4329,525
4358,1629
4367,7464
4369,35168
4388,162894
4392,60107
4425,1565
4428,72220
4429,10432
4439,3415
4444,190077
4471,179352
4476,1425
4485,491
4492,24933
4505,1891
4535,181
4540,6662
4558,75437
4560,14866
4570,19547
4606,2754
4620,423
4623,6771
4626,571976
4635,90202
4662,3578
4680,20515
4691,19901
4704,3356
4709,86379
4739,88444
4808,7482
4817,11218
4837,4228
4880,44232
4895,29014
4913,1612
4966,2054
4986,5906
5010,20088
5016,77397
5034,20844
5037,10646
5063,556
5075,7261
5089,1900
5094,175138
5115,42374
5128,54738
5171,9166
5190,44806
5200,3323
5220,3967
5302,2942
5314,23876
5333,19858
5339,977
5364,51961
5399,124258
5403,30586
5429,4484
