Article_id,credibility_withoutUser_Count
6,625
8,1296
10,3136
12,32965946262671460
23,11019960576
25,17954249856586620
27,5308416
28,3429742096
29,2342560000
33,10000
35,168823196161
36,21336152762
39,34639249456246
42,50626
43,110834940583486
46,213813760000
47,193877776
49,12897917761
50,32167139904
51,4941277927762192
54,25856961617
54,25856973050
242,1536953620
247,31220157
248,2562890625
249,252047376
253,130330
254,1500626
255,1146228737
259,401
264,9117381
268,108243216
269,35153042
270,2560000
271,655360000
271,655362601
272,236421376
274,166726039042
278,187388746
280,9150625
290,33157576133519
291,1458056
293,625
296,81
301,108243216
303,50306044964734304
305,408576278084468
307,34807119454302648
308,3167016641050530
309,50734333032
311,106016083745265
312,17482410936211
313,17372042626793
314,8706760755565
315,511320441461
316,2526687246673
317,71306645290
319,567558291237
320,44224744490
321,42110733682
322,6401
323,12054785
324,545859701496710
325,1003876256
326,49098149
328,19007435825
330,719499482
332,358993969626
333,14776340
334,550499719276
336,125255745317202
337,64545190791565
337,64545190710365
339,9189418862270408
340,9827663491
344,193098313620
348,559840650641
349,6738586102502
349,6738586087389
351,1275989845
358,4016847889843070
358,4016847889585022
359,6856422200727448
368,46848781889233
369,3404274207601
568,1030339075869791
569,2635105727005922
570,1335878320264462
571,27710264196
572,746005464089
573,5326168580209316
574,124514618940583
575,9150794
576,3344350114223161
578,56189692173814
579,1530003890328
580,842853480341
584,127368316306
586,677037733130700
587,549781088866213
590,156344339134236
591,57289770
592,1316601325
593,97017297394240
594,1309034013215739
595,17194591990052468
596,12960064
597,351263076175
599,8515566112193
600,12043564983034
606,6570
612,730532952487
615,188537243968
616,901
617,5283723
617,5363796
617,5310276
618,3137
618,23017
620,815375174052802
621,6149346308511
623,22998771460
623,22998789699
624,100336200031219584
625,4082680550624
627,483431234578452
628,108938393046382
629,588450820
630,6668438037
632,5338202329226
633,563543354339358
634,2511379433916
639,1119107407453406
640,885808997375096
642,20419810802
643,302238632319
644,279842
645,1698584323
649,8222793175
650,138730623759
651,6591251438325
652,1868099151
653,194450718158484
654,1121214
655,33473565035779
655,33473565058610
655,33473565188779
656,56128795924798
657,18408083904634
658,980796817083
659,240905839749
661,998219672621
662,581686652357804
663,2737295818543861
664,42643778766885
665,4344332905234
666,5182427079995
668,6222725154
669,81
670,168865628077092928
673,83940200370
674,820674748833605
675,33489929612
676,38650170386778
677,46517822084902
678,392526337141
679,89044239803
680,2057482518124
681,252997316394
682,8599831654805
683,8233542799
684,20588987
684,20588915
685,22432628826399
689,4616118501831559
690,65096531377394
691,144457589773524
696,14244934128
697,145599609532350
697,145599609452178
698,98993162805968
699,680270773
700,1288041486784570
701,3345331108509472
703,18631641315782
704,648439469499
705,727323772062
706,10633483182928
707,583598852
708,75281773223
709,5755877311
710,19170838476
711,6225525278286
712,41147374787238
713,59159650486190
715,41799803944
715,42000251464
717,1553781353445907
718,219820117038
719,422855381628459
728,63529901172
728,63529826844
730,345459911833
734,189445862372
734,189445829372
735,677
736,1024237549395779072
737,5493156173994412
738,822068907348224
740,115687497958120
741,1378396322380997
742,3662186320
744,19443304798009556
746,528907062180843
748,214941345745534
749,2019964657
751,665552199799822
752,1264113078911118
753,16381447208243
755,5764810
759,2342560000
762,84934656
764,35874056789
765,59153067175895616
766,15769159470
768,109061117
769,33863518047219
770,7111010084638555
771,95327302896733936
772,492284752747
772,492284749918
773,7139673636266792
775,1309782377617604
776,13332551192
777,52096306249
779,362203044
779,362187483
780,398448140726
782,382794992841
783,14741660583025614
783,14741660582610464
784,6731335984290
784,6731335977470
785,15485549054179
786,84522732287
787,19803051928
788,833740782
789,29508723986
791,684715559877416
794,56385352036
795,70916222925
798,1134506470793
799,4946579043975
800,1173933946605603
801,1072634670
802,436586147367832
803,272987200636814880
804,395255002
806,2997206699254870
808,4609167498688913
809,5676566191469
813,230639102325
814,2495203088
815,238730944426
816,1908030122
818,855036610
819,479785540
820,112550881
821,2562283305
822,25600852684295732
824,348822569631729
825,1327778996162
826,12149330177
827,145865941776
828,4581175175428
832,390634
835,157351945
839,145
840,142310894935493
841,154104236686148736
842,593542880044
842,593542870101
843,108510893835128
844,521990904842219
846,14081292
846,14084620
848,508615094298100
849,103576979895579
850,110443467820532
851,5181594438856
852,3204725214641081
853,6706031354944
854,122509060637323
855,680901590
856,11828664481103014
857,166063613669201
858,65540
859,37527218527
860,28387684
862,1547152855309077
863,29722677936095560
863,29722677935638600
864,9523880936145484
865,31300858849675
866,7519580781662
868,2597639069559
869,4421819975641
870,2855783138264
872,79590927472492
872,79590927400321
873,24010289
874,26340758970472212
875,1656428504
876,44308496033264
877,924418616654
878,4706099942525
880,7796212609872720
881,9658630618864
882,11789513474
883,175984107
884,188050156105
885,28886640
886,285238392325923
887,794868338434407
888,11237610603175
889,558958788022
890,36639472758541
891,629
892,5189689079
893,2093542506715569152
894,57515187962626
895,82191887491431
896,9993311372334
897,54291182474247
897,54291182425851
898,26809864155526
899,601547670143
899,601547678426
900,2714987597339
901,189030529423
902,642513289698177
902,642513289560193
903,566898191446
904,1202393001227222
905,715563284
906,6092615305110
909,152782752446811
910,1607889766
911,131258325017
912,14776400
913,53140781809633
913,53140781766764
914,258439378277
915,234267724194
917,1335117274
918,303595857
920,66494890213
921,399909713223
922,41315801496033
923,104980
924,10236333643471
925,31585671693
926,33857
